IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
64.110.88.46,4,4,0.00,61.75,10.30
172.64.166.41,4,4,0.00,160.70,10.16
43.153.80.208,4,4,0.00,153.65,7.86
104.21.97.188,4,4,0.00,160.63,6.72
172.67.201.139,4,4,0.00,160.35,6.72
